,X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
1,-73.9688574691102,40.7837825208444,21B-AM-1019-04,21B,AM,10192018,4,,,,+,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9688574691102 40.7837825208444)
2,-73.9742811484852,40.775533619083,11B-PM-1014-08,11B,PM,10142018,8,,Gray,,Gray+,,Above Ground,10,,False,True,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.97428114848522 40.775533619083)
3,-73.9596413903948,40.790312888902896,32E-PM-1017-14,32E,PM,10172018,14,Adult,Gray,,Gray+,Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.,,,,False,False,False,True,True,,False,False,False,False,False,False,False,True,,POINT (-73.9596413903948 40.7903128889029)
4,-73.9702676472613,40.7762126854894,13E-AM-1017-05,13E,AM,10172018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,,on tree stump,False,False,False,False,True,,False,False,False,False,False,False,False,False,,POINT (-73.9702676472613 40.7762126854894)
5,-73.96836135162249,40.772590884749896,11H-AM-1010-03,11H,AM,10102018,3,Adult,Cinnamon,White,Cinnamon+White,,,,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9683613516225 40.7725908847499)
6,-73.95412017897951,40.793181170108205,36H-AM-1010-02,36H,AM,10102018,2,Adult,Gray,,Gray+,just outside hectare,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,False,False,,POINT (-73.9541201789795 40.7931811701082)
7,-73.9582694312289,40.7917367820255,33F-AM-1008-02,33F,AM,10082018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9582694312289 40.7917367820255)
8,-73.9674285955293,40.7829723919744,21C-PM-1006-01,21C,PM,10062018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,False,False,False,False,False,,False,False,False,True,True,False,False,False,,POINT (-73.9674285955293 40.7829723919744)
9,-73.97225001968441,40.7742879599026,11D-AM-1010-03,11D,AM,10102018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,30,,False,False,True,False,False,grooming,False,False,False,False,False,False,True,False,,POINT (-73.9722500196844 40.7742879599026)
10,-73.96950635353329,40.7823507678183,20B-PM-1013-05,20B,PM,10132018,5,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9695063535333 40.7823507678183)
11,-73.9640032826529,40.782030982544796,22F-PM-1014-06,22F,PM,10142018,6,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,True,False,True,False,,POINT (-73.9640032826529 40.7820309825448)
12,-73.9532170504865,40.7919669739962,36I-PM-1007-01,36I,PM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9532170504865 40.7919669739962)
13,-73.9768603630674,40.7702795904962,5C-PM-1010-09,05C,PM,10102018,9,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9768603630674 40.7702795904962)
14,-73.9706105896967,40.769812482150705,7H-AM-1006-05,07H,AM,10062018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,10,,False,True,False,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9706105896967 40.7698124821507)
15,-73.9703781726172,40.778752613032104,16C-PM-1018-03,16C,PM,10182018,3,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Above Ground,6,,True,False,False,True,True,,False,False,False,False,False,False,True,False,,POINT (-73.9703781726172 40.7787526130321)
16,-73.9703925210471,40.7765032004992,14E-AM-1008-23,14E,AM,10082018,23,Adult,Gray,,Gray+,,Ground Plane,FALSE,,False,False,False,False,True,walking,False,False,False,False,False,False,True,False,,POINT (-73.9703925210471 40.7765032004992)
17,-73.9638179439747,40.7924173263904,32A-PM-1013-03,32A,PM,10132018,3,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,False,False,False,True,False,,False,False,False,False,False,False,True,False,,POINT (-73.9638179439747 40.7924173263904)
18,-73.9584070974734,40.7913812490557,33F-AM-1008-01,33F,AM,10082018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,False,False,False,False,False,moving slowly,False,False,False,False,False,False,True,False,,POINT (-73.9584070974734 40.7913812490557)
19,-73.96711306801141,40.7784859700171,17F-AM-1007-07,17F,AM,10072018,7,Adult,Gray,White,Gray+White,,Above Ground,24,,True,False,False,False,False,,False,False,False,True,False,False,True,False,,POINT (-73.9671130680114 40.7784859700171)
20,-73.9649866016038,40.776492969445705,16I-AM-1008-01,16I,AM,10082018,1,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9649866016038 40.7764929694457)
21,-73.9670628558161,40.7734991420941,12I-AM-1013-01,12I,AM,10132018,1,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,on tree roots,False,False,False,False,False,sitting,False,False,False,False,True,False,False,True,,POINT (-73.9670628558161 40.77349914209411)
22,-73.958736593111,40.790852437062604,32F-PM-1008-07,32F,PM,10082018,7,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,True,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.958736593111 40.7908524370626)
23,-73.96717867152559,40.7867352791232,25A-AM-1013-04,25A,AM,10132018,4,,Gray,White,Gray+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,False,True,,POINT (-73.9671786715256 40.7867352791232)
24,-73.96929432916109,40.776953610248796,15E-AM-1013-01,15E,AM,10132018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,False,False,False,False,,POINT (-73.9692943291611 40.7769536102488)
25,-73.9540054100539,40.795244599983604,39G-PM-1013-06,39G,PM,10132018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9540054100539 40.7952445999836)
26,-73.9576530157255,40.7868659490397,29I-PM-1007-01,29I,PM,10072018,1,,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,False,False,False,False,False,,POINT (-73.9576530157255 40.7868659490397)
27,-73.9738033257473,40.7711846894166,7E-AM-1006-02,07E,AM,10062018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,under a tree,False,False,False,True,False,,False,False,False,False,False,False,False,False,,POINT (-73.9738033257473 40.7711846894166)
28,-73.9704402681017,40.77989656212029,17C-PM-1013-05,17C,PM,10132018,5,Adult,Gray,,Gray+,,Ground Plane,FALSE,,False,False,False,True,False,eating (ate upside down on a tree — #jealous),False,False,False,False,False,False,True,False,,POINT (-73.9704402681017 40.77989656212031)
29,-73.97569760767071,40.775389733191794,10A-PM-1014-01,10A,PM,10142018,1,Adult,Gray,"Black, Cinnamon, White","Gray+Black, Cinnamon, White",Gray & White selected as Primary. Black & Cinnamon selected as Highlights. Made executive adjustments.,Ground Plane,FALSE,in b/w trees,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9756976076707 40.7753897331918)
30,-73.96624389966809,40.7890381809441,28A-PM-1007-05,28A,PM,10072018,5,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,True,False,False,True,,POINT (-73.9662438996681 40.7890381809441)
31,-73.96431539204279,40.78208185169571,22F-PM-1014-05,22F,PM,10142018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,False,False,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9643153920428 40.7820818516957)
32,-73.9742073452913,40.7757957380463,12B-AM-1007-01,12B,AM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,False,True,False,False,False,,False,False,False,True,False,False,True,False,,POINT (-73.9742073452913 40.7757957380463)
33,-73.9716147061553,40.7813911036179,18A-PM-1018-01,18A,PM,10182018,1,Adult,Gray,,Gray+,,Above Ground,30,,False,False,True,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9716147061553 40.7813911036179)
34,-73.9565700386162,40.7902561000937,33H-AM-1019-02,33H,AM,10192018,2,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,False,False,False,False,False,wrestling with mother,False,False,False,False,False,False,False,False,,POINT (-73.9565700386162 40.7902561000937)
